player,COUNT(DISTINCT pt.teamID)
Jimmy Butler,4
Jimmy Walker,2
JiÅ™Ã­ Welsch,2
Joakim Noah,2
Jodie Meeks,4
Joe Barry Carroll,4
Joe Caldwell,2
Joe Ellis,2
Joe Graboski,4
Joe Harris,2
Joe Holup,2
Joe Johnson,6
Joe Kleine,3
Joe Kopicki,2
Joe Smith,5
Joe Wolf,3
Joel Anthony,2
Joel Przybilla,2
Joey Graham,2
Joffrey Lauvergne,2
Johan Petro,2
John Amaechi,3
John Bagley,2
John Barnhill,2
John Battle,2
John Block,4
John Crotty,4
John Drew,2
John Gianelli,2
John Johnson,2
John Lambert,3
John Long,2
John Lucas,4
John Lucas III,2
John Mahnken,2
John Mengelt,2
John Morton,2
John Paxson,2
John Salley,4
John Salmons,4
John Shumate,2
John Starks,2
John Thomas,2
John Tresvant,2
John Wetzel,2
John Williams,2
John Williamson,2
Johnny Davis,4
Johnny Dawkins,2
Johnny Egan,3
Johnny Green,2
Johnny McCarthy,2
Johnny Newman,4
Jon Barry,6
Jon Koncak,2
Jon Leuer,2
Jon McGlocklin,2
Jon Sundvold,3
Jonas Jerebko,3
Jonas ValanÄiÅ«nas,3
Jonathon Simmons,2
Jordan Clarkson,2
Jordan Crawford,3
Jordan Farmar,2
Jordan Hill,2
Jorge GutiÃ©rrez,3
Josh Howard,2
Josh McRoberts,4
Josh Powell,4
Josh Richardson,3
Josh Smith,2
JosÃ© CalderÃ³n,5
Jrue Holiday,3
Juan Dixon,3
Juancho HernangÃ³mez,2
Jud Buechler,3
Jumaine Jones,2
Justin Anderson,3
Justin Holiday,2
Justin Jackson,2
Justise Winslow,2
Juwan Howard,5
Juwan Morgan,2
Kareem Abdul-Jabbar,2
Karl Malone,2
Kawhi Leonard,3
Keith Bogans,4
Keith Erickson,3
Keith Van Horn,4
Kelenna Azubuike,2
Kelly Olynyk,2
Kelly Tripucka,2
Kelvin Cato,3
Kelvin Ransey,2
Kemba Walker,3
Ken Norman,2
Kendall Gill,4
Kendrick Perkins,3
Kenneth Faried,2
Kenny Anderson,5
Kenny Carr,2
Kenny Rollins,2
Kenny Sears,2
Kenny Thomas,2
Kent Bazemore,2
Kent Benson,3
Kentavious Caldwell-Pope,2
Kenyon Martin,4
Keon Clark,2
Kermit Washington,2
Kevin Durant,3
Kevin Edwards,2
Kevin Gamble,2
Kevin Garnett,3
Kevin Grevey,2
Kevin Knox,2
Kevin Kunnert,2
Kevin Loughery,2
Kevin Martin,3
Kevin Ollie,3
Kevin Porter,4
Kevin Restani,2
Kevin SÃ©raphin,2
Kevin Williams,2
Kevin Willis,4
Keyon Dooling,4
Khem Birch,2
Kiki Vandeweghe,4
Kirk Hinrich,2
Kleggie Hermsen,2
Kosta Koufos,3
Kris Humphries,4
Kurt Nimphius,4
Kurt Rambis,2
Kurt Thomas,6
Kwame Brown,3
Kyle Anderson,2
Kyle Korver,6
Kyle Lowry,3
Kyle Macy,3
